frame,left_ear_x,left_ear_y,left_shoulder_x,left_shoulder_y,left_hip_x,left_hip_y
1.0,0.4348507225513458,0.2589980661869049,0.49411308765411377,0.30306482315063477,0.5126305222511292,0.4953436255455017
2.0,0.4352637827396393,0.25927039980888367,0.49618038535118103,0.30445772409439087,0.5115879774093628,0.49497073888778687
3.0,0.4371330142021179,0.2599847614765167,0.4987499713897705,0.3078197240829468,0.5115480422973633,0.4949713349342346
4.0,0.4379885792732239,0.26117831468582153,0.498947411775589,0.3103785514831543,0.5111298561096191,0.4949679970741272
5.0,0.4392867684364319,0.26303109526634216,0.4999391436576843,0.3135535418987274,0.5111351013183594,0.4952479898929596
6.0,0.43972787261009216,0.26535138487815857,0.4998570382595062,0.3157862424850464,0.5108141899108887,0.49528688192367554
7.0,0.43982458114624023,0.2701694369316101,0.4998016655445099,0.31997284293174744,0.5108153820037842,0.49534326791763306
8.0,0.4398016333580017,0.2725454270839691,0.4996829032897949,0.3227221369743347,0.5111138820648193,0.49647778272628784
9.0,0.4408998191356659,0.2754543423652649,0.4976520538330078,0.3244550824165344,0.5111332535743713,0.49748530983924866
10.0,0.4413897693157196,0.2793354392051697,0.49732959270477295,0.32721179723739624,0.5111410617828369,0.49794498085975647
11.0,0.44372129440307617,0.2828039824962616,0.49731385707855225,0.3289583921432495,0.5115686058998108,0.4987031817436218
12.0,0.4441477358341217,0.2844683825969696,0.49395450949668884,0.3294905126094818,0.5114738941192627,0.501285970211029
13.0,0.4453761577606201,0.2856041193008423,0.4929531514644623,0.3306443393230438,0.5122551321983337,0.5045979022979736
14.0,0.4455183744430542,0.2861981987953186,0.4929996132850647,0.3320922255516052,0.5156360864639282,0.5084606409072876
15.0,0.4456389248371124,0.286899596452713,0.49233925342559814,0.33407706022262573,0.5174189209938049,0.5128744840621948
16.0,0.44696566462516785,0.2866811454296112,0.49095553159713745,0.3356062173843384,0.5189812779426575,0.5122417211532593
17.0,0.4482846260070801,0.2859956920146942,0.4910311698913574,0.3362700641155243,0.5247184038162231,0.5117804408073425
18.0,0.448250412940979,0.2856273055076599,0.490331768989563,0.33640459179878235,0.5241098999977112,0.5114676356315613
19.0,0.4481939673423767,0.285360723733902,0.48769980669021606,0.33638232946395874,0.5281406044960022,0.5130017995834351
20.0,0.44888657331466675,0.2851516008377075,0.4848968982696533,0.336224764585495,0.5328201055526733,0.5124350786209106
